0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1.0,0.98355323,0.97988284,0.9917934,0.98078,0.9840671,0.9884584,0.9888544,0.9772176,0.98852265,0.9809698,0.9768244,0.9528052,0.9739534,0.9671648,0.98750865,0.98349893,0.97682095,0.99107915,0.96028477,0.95983225,0.9936818,0.9889576,0.96777,0.9869887,0.9903213
0.98355323,0.99999994,0.9662813,0.9807923,0.96783483,0.97902846,0.98063797,0.9894999,0.9683989,0.9818881,0.96701473,0.9628519,0.9369077,0.96145964,0.9556692,0.979946,0.96630347,0.97170913,0.99168277,0.9405153,0.9405706,0.983752,0.99009794,0.97583467,0.9926049,0.9891279
0.97988284,0.9662813,1.0000002,0.9799572,0.99449724,0.98953795,0.9901093,0.9749658,0.9894406,0.98623616,0.9945792,0.9891897,0.9763129,0.9904415,0.98228586,0.98904413,0.9899199,0.98489577,0.98043096,0.9863125,0.98549426,0.98701257,0.98390144,0.9308996,0.97178185,0.9809763
0.9917934,0.9807923,0.9799572,1.0000002,0.9834799,0.9870062,0.9863772,0.98757774,0.9771805,0.9858722,0.9807507,0.9787484,0.951773,0.9724494,0.96433336,0.98957616,0.98291653,0.9768891,0.99050385,0.96200657,0.96487737,0.9949952,0.9911888,0.9648729,0.9875688,0.98871696
0.98078,0.96783483,0.99449724,0.9834799,1.0000002,0.991532,0.99112487,0.9785165,0.99336773,0.9878475,0.9954334,0.99097615,0.9820807,0.9934564,0.9887192,0.992875,0.98951375,0.9882856,0.98303515,0.99068785,0.990726,0.98989344,0.9863051,0.929575,0.97426873,0.9814267
0.9840671,0.97902846,0.98953795,0.9870062,0.991532,0.99999994,0.990256,0.9841968,0.9911881,0.98636276,0.98987454,0.9873679,0.96785897,0.9856073,0.97866946,0.990669,0.99106795,0.99052155,0.98718745,0.9792531,0.97812814,0.98888403,0.9922882,0.9491686,0.98582697,0.98985314
0.9884584,0.98063797,0.9901093,0.9863772,0.99112487,0.990256,0.99999976,0.9872276,0.9898609,0.9910373,0.9909505,0.98788476,0.97428375,0.988036,0.98399115,0.9916313,0.98605025,0.98557204,0.9904308,0.97894937,0.9793267,0.9928166,0.99049807,0.94820553,0.983518,0.9896242
0.9888544,0.9894999,0.9749658,0.98757774,0.9785165,0.9841968,0.9872276,0.99999994,0.9782654,0.9808221,0.97884935,0.97996825,0.9586561,0.97359025,0.9716297,0.98619795,0.9761971,0.9805399,0.9902269,0.96030796,0.96171707,0.98761827,0.9895425,0.9654178,0.9886879,0.9862921
0.9772176,0.9683989,0.9894406,0.9771805,0.99336773,0.9911881,0.9898609,0.9782654,1.0000002,0.9832214,0.9927555,0.9932489,0.9826472,0.99500835,0.9882927,0.9903199,0.98933977,0.99224395,0.98205423,0.98688745,0.9887933,0.9856303,0.9836275,0.930199,0.97455096,0.9806038
0.98852265,0.9818881,0.98623616,0.9858722,0.9878475,0.98636276,0.9910373,0.9808221,0.9832214,0.9999999,0.98364085,0.9815856,0.9637707,0.9834523,0.97572565,0.9913536,0.98016095,0.98416626,0.9913532,0.9704555,0.97073627,0.99426,0.9883514,0.9471635,0.98052907,0.98617035
0.9809698,0.96701473,0.9945792,0.9807507,0.9954334,0.98987454,0.9909505,0.97884935,0.9927555,0.98364085,1.0000005,0.9907743,0.98229593,0.9930803,0.9866237,0.9894046,0.99056935,0.9883255,0.9814176,0.9876842,0.98946863,0.9869531,0.9856694,0.92851853,0.9738741,0.9805073
0.9768244,0.9628519,0.9891897,0.9787484,0.99097615,0.9873679,0.98788476,0.97996825,0.9932489,0.9815856,0.9907743,0.99999994,0.9856196,0.9935007,0.98871833,0.9899415,0.98520464,0.99035776,0.9794217,0.9878672,0.9889986,0.984724,0.9784297,0.92519766,0.96758074,0.9737187
0.9528052,0.9369077,0.9763129,0.951773,0.9820807,0.96785897,0.97428375,0.9586561,0.9826472,0.9637707,0.98229593,0.9856196,1.0,0.98850983,0.9923728,0.9735655,0.9655501,0.97684,0.9563153,0.9916404,0.9885335,0.9624316,0.956216,0.879315,0.93889856,0.9488218
0.9739534,0.96145964,0.9904415,0.9724494,0.9934564,0.9856073,0.988036,0.97359025,0.99500835,0.9834523,0.9930803,0.9935007,0.98850983,1.0000007,0.99293584,0.9880449,0.9845865,0.9897431,0.97724193,0.9920731,0.9923312,0.9828869,0.97823954,0.916825,0.9653933,0.9735123
0.9671648,0.9556692,0.98228586,0.96433336,0.9887192,0.97866946,0.98399115,0.9716297,0.9882927,0.97572565,0.9866237,0.98871833,0.9923728,0.99293584,0.99999976,0.98472124,0.97439384,0.9826899,0.9686516,0.9905056,0.9871262,0.9752554,0.9704524,0.90231997,0.9559831,0.9639486
0.98750865,0.979946,0.98904413,0.98957616,0.992875,0.990669,0.9916313,0.98619795,0.9903199,0.9913536,0.9894046,0.9899415,0.9735655,0.9880449,0.98472124,1.0000002,0.9854686,0.98776746,0.99040073,0.97956556,0.97918415,0.9936164,0.98885584,0.94453657,0.97991,0.98439443
0.98349893,0.96630347,0.9899199,0.98291653,0.98951375,0.99106795,0.98605025,0.9761971,0.98933977,0.98016095,0.99056935,0.98520464,0.9655501,0.9845865,0.97439384,0.9854686,0.9999995,0.98420477,0.9792773,0.977544,0.97805613,0.98620677,0.98723733,0.94582987,0.97924,0.9858736
0.97682095,0.97170913,0.98489577,0.9768891,0.9882856,0.99052155,0.98557204,0.9805399,0.99224395,0.98416626,0.9883255,0.99035776,0.97684,0.9897431,0.9826899,0.98776746,0.98420477,0.99999976,0.9837791,0.97928303,0.9801787,0.98256934,0.9823035,0.9320182,0.97650504,0.97746557
