GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6,6%,AB/HR,GIDP,GITP,CI
4,10,9,0.222,0.300,0.522,0.222,2,2,0,0,0,0,2,1,2,1,0,0,0,0,0,0,-,0,0,2,20.00,10.0,0.500,77.78,1,14.29,28.57,57.14,0.286,0.167,6,0,0,2,27,2.700,1,10.00,1,10.00,-,0,0,0
5,12,9,0.222,0.417,0.861,0.444,2,0,2,0,0,2,1,2,0,0,1,0,0,0,0,0,-,0,1,4,33.33,6.0,0.000,100.0,1,11.11,55.56,33.33,0.222,0.200,7,2,2,4,27,2.250,0,0.00,1,8.33,-,0,0,0
